mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__kernel,param_svc__gamma,param_svc__degree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
21.441134691238403,1.0497827684837238,13.59489401181539,1.0506630590587036,0.1,linear,,,"{'svc__C': 0.1, 'svc__kernel': 'linear'}",0.9073756432246998,0.9622507122507122,0.9245014245014245,0.9313759266589455,0.02292396686276511,1
21.359237511952717,1.041084957281088,13.629159927368164,1.0541249251059077,1.0,linear,,,"{'svc__C': 1, 'svc__kernel': 'linear'}",0.9073756432246998,0.9622507122507122,0.9245014245014245,0.9313759266589455,0.02292396686276511,1
22.387738704681396,1.4646161910974098,12.97273055712382,1.111432881713388,10.0,linear,,,"{'svc__C': 10, 'svc__kernel': 'linear'}",0.9073756432246998,0.9622507122507122,0.9245014245014245,0.9313759266589455,0.02292396686276511,1
24.594456275304157,1.0679646932551825,11.738528966903687,1.0782400996936048,0.1,rbf,scale,,"{'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.8699690402476781,0.3291139240506329,0.3291139240506329,0.5093989627829812,0.25496154686824585,16
24.6734672387441,1.0406971100664872,11.701422611872355,1.005955441605569,0.1,rbf,auto,,"{'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.8699690402476781,0.3291139240506329,0.3291139240506329,0.5093989627829812,0.25496154686824585,16
24.82081429163615,1.1797699516398092,12.612951596577963,0.858238267310702,0.1,rbf,0.01,,"{'svc__C': 0.1, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.7174747122427625,0.3291139240506329,0.3291139240506329,0.4585675201146761,0.1830750312517382,18
24.815291325251263,1.242601509509651,13.052953720092773,1.1546902718977787,0.1,rbf,0.1,,"{'svc__C': 0.1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.3333333333333333,0.3291139240506329,0.3291139240506329,0.33052039381153303,0.001989048610932625,36
24.88142744700114,1.1890437137025232,13.068578958511353,1.0866936384655639,1.0,rbf,scale,,"{'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.8699690402476781,0.8857758620689655,0.9433962264150944,0.8997137095772461,0.031555090577054405,6
29.933872938156128,1.47834133112943,15.85668937365214,1.4124845839971836,1.0,rbf,auto,,"{'svc__C': 1, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.8699690402476781,0.8857758620689655,0.9433962264150944,0.8997137095772461,0.031555090577054405,6
29.79350431760152,1.445740723429947,15.874114274978638,1.4387256892882407,1.0,rbf,0.01,,"{'svc__C': 1, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.3333333333333333,0.3291139240506329,0.3291139240506329,0.33052039381153303,0.001989048610932625,36
30.94464635848999,1.6890870400648128,14.287045319875082,2.0394731121061462,1.0,rbf,0.1,,"{'svc__C': 1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.3333333333333333,0.3291139240506329,0.3291139240506329,0.33052039381153303,0.001989048610932625,36
32.71919401486715,1.0631734482891433,11.665632724761963,1.001634601554055,10.0,rbf,scale,,"{'svc__C': 10, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9071207430340558,0.8857758620689655,0.9622507122507122,0.9183824391179112,0.03222028374170526,4
32.79985968271891,1.0677422856876628,11.636105378468832,1.043843141525637,10.0,rbf,auto,,"{'svc__C': 10, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.9071207430340558,0.8857758620689655,0.9622507122507122,0.9183824391179112,0.03222028374170526,4
27.124553600947063,3.489171855105072,12.382226467132568,0.6635193277705314,10.0,rbf,0.01,,"{'svc__C': 10, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.41073766914011345,0.3291139240506329,0.3291139240506329,0.3563218390804597,0.038477802439075906,31
24.244340976079304,0.873291983786837,12.717374086380005,0.9072432558344188,10.0,rbf,0.1,,"{'svc__C': 10, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.3333333333333333,0.3291139240506329,0.3291139240506329,0.33052039381153303,0.001989048610932625,36
24.13465158144633,0.9372004438394028,12.697470347086588,0.7738137526937808,0.1,poly,scale,2.0,"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.41073766914011345,0.3291139240506329,0.3291139240506329,0.3563218390804597,0.038477802439075906,31
24.463967164357502,0.9839948839194337,10.875456015268961,0.9495620735712393,0.1,poly,auto,2.0,"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.41073766914011345,0.3291139240506329,0.3291139240506329,0.3563218390804597,0.038477802439075906,31
24.474312782287598,1.0146410733343796,10.785672505696615,0.9796128945561764,0.1,poly,0.01,2.0,"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 0.01, 'svc__kernel': 'poly'}",0.5833333333333333,0.5236928104575164,0.5669934640522876,0.5580065359477124,0.02516375236714922,8
24.137228568394978,1.2918599348574527,10.464088837305704,0.9767269867050602,0.1,poly,0.1,2.0,"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.5833333333333333,0.5236928104575164,0.5669934640522876,0.5580065359477124,0.02516375236714922,8
